lat2,lon2,lux2
0.00000000,0.00000000,0.76
42.36509672,-71.07757965,26.05
42.36509840,-71.07752092,7.55
42.36509849,-71.07758578,27.19
42.36510592,-71.07759712,26.85
42.36510707,-71.07756212,17.96
42.36510716,-71.07760345,19.32
42.36510771,-71.07751824,7.64
42.36510855,-71.07756840,26.85
42.36511043,-71.07751057,7.69
42.36511171,-71.07747555,4.95
42.36511300,-71.07754687,18.13
42.36511394,-71.07747938,3.26
42.36511440,-71.07761559,24.77
42.36511750,-71.07744696,3.16
42.36511805,-71.07752873,17.96
42.36511811,-71.07760661,25.82
42.36511859,-71.07762990,19.32
42.36511916,-71.07753454,17.08
42.36511974,-71.07743571,3.02
42.36511977,-71.07742969,1.75
42.36512035,-71.07748505,3.73
42.36512053,-71.07745460,3.02
42.36512151,-71.07744862,3.47
42.36512407,-71.07742410,1.47
42.36512453,-71.07749810,7.64
42.36512532,-71.07746195,3.73
42.36512704,-71.07741270,1.45
42.36512780,-71.07763386,19.91
42.36512872,-71.07764930,18.77
42.36512892,-71.07740687,1.75
42.36512944,-71.07764101,19.43
42.36513016,-71.07766483,7.39
42.36513187,-71.07739842,1.78
42.36513349,-71.07767905,9.54
42.36513372,-71.07739298,1.84
42.36513487,-71.07767021,8.17
42.36513998,-71.07737572,1.78
42.36514009,-71.07737781,1.85
42.36514378,-71.07769072,7.39
42.36514449,-71.07769934,3.44
42.36514714,-71.07770736,3.12
42.36514804,-71.07736869,1.5
42.36514814,-71.07771576,3.73
42.36514896,-71.07735919,1.43
42.36514902,-71.07773221,3.44
42.36515214,-71.07773974,1.06
42.36515366,-71.07774824,1.42
42.36515574,-71.07734958,1.3
42.36515767,-71.07777626,1.06
42.36515894,-71.07734514,1.5
42.36515902,-71.07775537,1.29
42.36515999,-71.07791185,0.62
42.36516011,-71.07790175,0.68
42.36516072,-71.07793185,0.66
42.36516086,-71.07778399,0.93
42.36516135,-71.07781282,0.85
42.36516218,-71.07792100,0.68
42.36516248,-71.07783149,0.71
42.36516287,-71.07788009,0.68
42.36516327,-71.07782174,0.75
42.36516371,-71.07787064,0.62
42.36516395,-71.07784053,0.76
42.36516410,-71.07779227,0.85
42.36516472,-71.07786064,0.75
42.36516519,-71.07795112,0.58
42.36516772,-71.07798214,0.69
42.36516801,-71.07796147,0.67
42.36516807,-71.07797195,0.78
42.36516942,-71.07800344,0.79
42.36516970,-71.07802535,1.03
42.36517233,-71.07804658,1.17
42.36517262,-71.07801306,0.78
42.36517288,-71.07733204,1.61
42.36517370,-71.07805711,1.19
42.36517462,-71.07806801,1.03
42.36517821,-71.07808929,1.29
42.36518217,-71.07811072,1.23
42.36518483,-71.07731319,1.41
42.36518555,-71.07812089,1.04
42.36518726,-71.07813193,1.29
42.36518875,-71.07730865,1.56
42.36518884,-71.07815445,2.37
42.36518935,-71.07816577,2.27
42.36518977,-71.07818848,6.52
42.36519002,-71.07817675,2.64
42.36519320,-71.07821067,6.6
42.36519561,-71.07822141,7.16
42.36519565,-71.07823301,6.52
42.36519647,-71.07825603,6.6
42.36519755,-71.07826744,17.24
42.36520360,-71.07827452,16.58
42.36520438,-71.07832331,29.05
42.36520466,-71.07831187,17.24
42.36520593,-71.07828506,16.72
