shapeid,x,y,Street_ID,Pole_Num,PoleID,StreetName,StreetSuff,Intersecti,Neighborho,Descriptio,Owner,FixtureTyp,NumLamps,Lamp1,Lamp2,LEDchk,EditDate
5558,-71.11886804,42.37343516,901,M1,901-M1,HARVARD SQUARE PIT,NULL,HARVARD SQUARE PIT,0,Harvard Sq Barrell Flood,NULL,NULL,4,901-M1A,901-M1B,Yes,2014
5559,-71.11896161,42.37344626,901,M2,901-M2,HARVARD SQUARE PIT,NULL,HARVARD SQUARE PIT,0,Harvard Sq Barrell Flood,NULL,NULL,4,901-M2A,901-M2B,Yes,2014
5574,-71.12097312,42.37295542,902,M,902-M,ELIOT STREET PLAZA,ST,ELIOT ST,0,Harvard Sq Barrell Flood,NULL,NULL,4,902-MA,902-MB,Yes,2014
5983,-71.10203753,42.36515811,36,P3,36-P3,BISHOP ALLEN LOT 5,NULL,BISHOP ALLEN DR,5,Security Flood,City,NULL,4,36-P3A,36-P3B,Yes,2014
4126,-71.10323202,42.35817069,716,15,716-15,MERRIAM,ST,MERRIAM ST,0,Cobrahead,Private,NULL,3,716-15,NULL,NULL,2014
4054,-71.11763827,42.37599454,113-,143,113-143,CAMBRIDGE,ST,CAMBRIDGE ST,9,Cobrahead,City,A2,2,113-143A,113-143B,Yes,2014
4055,-71.11613981,42.3756774,113-,139,113-139,CAMBRIDGE,ST,CAMBRIDGE ST,6,Cobrahead,City,A2,2,113-139A,113-139B,Yes,2014
4056,-71.11582193,42.37562465,113-,137,113-137,CAMBRIDGE,ST,CAMBRIDGE ST,6,Cobrahead,City,A2,2,113-137A,113-137B,Yes,2014
4057,-71.11549547,42.37558809,113-,135,113-135,CAMBRIDGE,ST,BROADWAY,6,Cobrahead,City,A2,2,113-135A,113-135B,Yes,2014
4058,-71.11518413,42.37556118,113-,11,113-133,CAMBRIDGE,ST,CAMBRIDGE ST,6,Cobrahead,City,A2,2,113-133A,113-133B,Yes,2014
4062,-71.08069112,42.36825476,667-,29,667-29,THIRD,ST,HURLEY ST,1,Cobrahead,City,A2 / A3,2,667-29A,667-29B,Yes,2014
4074,-71.12081397,42.3815849,629-,4,629-4,SHEPARD,ST,RUTLAND ST,9,Cobrahead,City,A2 / A3,2,629-4A,629-4B,Yes,2014
4075,-71.1459768,42.37562252,1-,1,1-Jan,ABERDEEN,AVE,ABERDEEN AVE,10,Cobrahead,City,A3,2,1-1A,1-1B,Yes,2014
4076,-71.1460941,42.37588482,1-,3,3-Jan,ABERDEEN,AVE,ABERDEEN AVE,10,Cobrahead,City,A3,2,1-3A,1-3B,Yes,2014
4077,-71.14622554,42.37617332,1-,5,5-Jan,ABERDEEN,AVE,ABERDEEN AVE,10,Cobrahead,City,A3,2,1-5A,1-5B,Yes,2014
4078,-71.14634885,42.37646131,1-,7,7-Jan,ABERDEEN,AVE,ABERDEEN AVE,10,Cobrahead,City,A3,2,1-7A,1-7B,Yes,2014
4079,-71.1464613,42.37671274,1-,9,9-Jan,ABERDEEN,AVE,ABERDEEN AVE,10,Cobrahead,City,A3,2,1-9A,1-9B,Yes,2014
4080,-71.14670116,42.37725852,1-,13,13-Jan,ABERDEEN,AVE,ABERDEEN AVE,10,Cobrahead,City,A3,2,1-13A,1-13B,Yes,2014
4081,-71.14680777,42.37749642,1-,15,15-Jan,ABERDEEN,AVE,ABERDEEN AVE,10,Cobrahead,City,A3,2,1-15A,1-15B,Yes,2014
4082,-71.14693564,42.37779135,1-,17,17-Jan,ABERDEEN,AVE,ABERDEEN AVE,10,Cobrahead,City,A3,2,1-17A,1-17B,Yes,2014
4083,-71.14704534,42.37803339,1-,19,19-Jan,ABERDEEN,AVE,ABERDEEN AVE,10,Cobrahead,City,A3,2,1-19A,1-19B,Yes,2014
4084,-71.14716314,42.37830426,1-,21,21-Jan,ABERDEEN,AVE,ABERDEEN AVE,10,Cobrahead,City,A3,2,1-21A,1-21B,Yes,2014
4095,-71.10362353,42.36149183,102,26,102-26,BROOKLINE,ST,BROOKLINE ST,0,1907,NULL,NULL,2,102-26,NULL,Yes,2014
4099,-71.12566173,42.39016792,477-,6,477-6,MEAD,ST,COGSWELL AVE,11,Cobrahead,City,A3,2,477-6A,477-6B,Yes,2014
4100,-71.09785105,42.36522857,709-,39,709-39,WASHINGTON,ST,PINE ST,4,Cobrahead,City,A3,2,709-39A,709-39B,Yes,2014
4103,-71.10379777,42.35767649,240-,4,240-4,ERIE,ST,WAVERLY ST,5,Cobrahead,City,A2 / A3F,2,240-4A,240-4B,Yes,2014
4104,-71.15073854,42.39226026,640-,14,640-14,SMITH,PL,ADLEY RD,12,Cobrahead,City,A3,2,640-14A,640-14B,Yes,2014
4106,-71.08303159,42.37219994,304-,27,304-27,GORE,ST,FIFTH ST,1,Cobrahead,City,A2 / A3,2,304-27A,304-27B,Yes,2014
4108,-71.08646354,42.37297812,304-,48,304-48,GORE,ST,LAMBERT ST,1,Cobrahead,City,A2,2,304-48A,304-48B,Yes,2014
4109,-71.08123902,42.3719675,304-,21,304-21,GORE,ST,SCIARAPPA ST,1,Cobrahead,City,A2 / A3,2,304-21A,304-21B,Yes,2014
4110,-71.07962152,42.37165788,304-,14,304-14,GORE,ST,THIRD ST,1,Cobrahead,City,A2,2,304-14A,304-14B,Yes,2014
4111,-71.10732782,42.36669979,311-,47,311-47,GREEN,ST,SELLERS ST,7,Cobrahead,City,A2,2,311-47A,311-47B,Yes,2014
4115,-71.11075519,42.37824919,391-,25,391-25,IRVING,ST,SCOTT ST,8,Cobrahead,City,A2 / A3,2,391-25A,391-25B,Yes,2014
4116,-71.09611364,42.36840112,466-,21,466-21,MARKET,ST,UNION ST,4,Cobrahead,City,A3,2,466-21A,466-21B,Yes,2014
4118,-71.10001023,42.36697089,510-,19,510-19,NORFOLK,ST,WORCESTER ST,4,Cobrahead,City,A3,2,510-19A,510-19B,Yes,2014
4119,-71.12668338,42.38582051,575-,22,575-22,RAYMOND,ST,WEST BELLEVUE AVE,9,Cobrahead,City,A2 / A3,2,575-22A,575-22B,Yes,2014
4121,-71.07930963,42.36807554,625-,21,625-21,SECOND,ST,HURLEY ST,1,Cobrahead,City,A2 / A3,2,625-21A,625-21B,Yes,2014
4122,-71.0794332,42.36751928,625-,25,625-25,SECOND,ST,CHARLES ST,1,Cobrahead,City,A2 / A3,2,625-25A,625-25B,Yes,2014
4123,-71.09641364,42.36255456,NULL,NULL,651-12,STATE,ST,STATE ST,0,NULL,NULL,NULL,2,651-12,NULL,NULL,NULL
4124,-71.09702297,42.36505183,709-,35,709-35,WASHINGTON,ST,CHERRY ST,4,Cobrahead,City,A3,2,709-35A,709-35B,Yes,2014
4128,-71.137077,42.39373219,587-,56,587-56,RINDGE,AVE,RINDGE AVE,11,Cobrahead,City,A2 / A3,2,587-56A,587-56B,Yes,2014
4132,-71.12928241,42.39120375,688-,7,688-7,VAN NORDEN,ST,YERXA ST,11,Cobrahead,City,A3,2,688-7A,688-7B,Yes,2014
4136,-71.11966942,42.38894953,471-,210,471-210,MASSACHUSETTS,AVE,MASSACHUSETTS AVE,11,Cobrahead,City,A1,2,471-210A,471-210B,Yes,2014
